Product_1,Product_2,Frequency,Support
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,1240,3.076846728369023
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,1114,2.7641993995186227
JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,1096,2.7195354953971367
STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,1052,2.6103570631001713
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,1024,2.540879878911193
JUMBO BAG RED RETROSPOT,JUMBO SHOPPER VINTAGE RED PAISLEY,1008,2.501178630803206
HEART OF WICKER LARGE,HEART OF WICKER SMALL,1005,2.493734646782958
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,966,2.3969628545197392
60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,926,2.2977097342497705
JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,926,2.2977097342497705
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,916,2.2728964541822783
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO STORAGE BAG SUKI,897,2.2257512220540434
LUNCH BAG  BLACK SKULL.,LUNCH BAG SPACEBOY DESIGN,888,2.2034192699933004
LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,884,2.1934939579663038
HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,866,2.1488300538448177
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,855,2.1215354457705766
WHITE HANGING HEART T-LIGHT HOLDER,WOODEN FRAME ANTIQUE WHITE,839,2.081834197662589
PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,839,2.081834197662589
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,836,2.0743902136423413
WHITE HANGING HEART T-LIGHT HOLDER,WOODEN PICTURE FRAME WHITE FINISH,833,2.0669462296220935
