Product,Recommended_Product,Frequency,Support,Recommendation
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,1240,3.08,Customers purchasing 'RED HANGING HEART T-LIGHT HOLDER' can be recommended 'WHITE HANGING HEART T-LIGHT HOLDER'.
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,1114,2.76,Customers purchasing 'WOODEN FRAME ANTIQUE WHITE' can be recommended 'WOODEN PICTURE FRAME WHITE FINISH'.
JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,1096,2.72,Customers purchasing 'JUMBO BAG RED RETROSPOT' can be recommended 'JUMBO STORAGE BAG SUKI'.
STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,1052,2.61,Customers purchasing 'STRAWBERRY CERAMIC TRINKET BOX' can be recommended 'SWEETHEART CERAMIC TRINKET BOX'.
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,1024,2.54,Customers purchasing 'GREEN REGENCY TEACUP AND SAUCER' can be recommended 'ROSES REGENCY TEACUP AND SAUCER'.
JUMBO BAG RED RETROSPOT,JUMBO SHOPPER VINTAGE RED PAISLEY,1008,2.5,Customers purchasing 'JUMBO BAG RED RETROSPOT' can be recommended 'JUMBO SHOPPER VINTAGE RED PAISLEY'.
HEART OF WICKER LARGE,HEART OF WICKER SMALL,1005,2.49,Customers purchasing 'HEART OF WICKER LARGE' can be recommended 'HEART OF WICKER SMALL'.
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,966,2.4,Customers purchasing 'JUMBO BAG PINK POLKADOT' can be recommended 'JUMBO BAG RED RETROSPOT'.
60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,926,2.3,Customers purchasing '60 TEATIME FAIRY CAKE CASES' can be recommended 'PACK OF 60 PINK PAISLEY CAKE CASES'.
JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,926,2.3,Customers purchasing 'JUMBO BAG RED RETROSPOT' can be recommended 'JUMBO BAG STRAWBERRY'.
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,916,2.27,Customers purchasing 'JUMBO  BAG BAROQUE BLACK WHITE' can be recommended 'JUMBO BAG RED RETROSPOT'.
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO STORAGE BAG SUKI,897,2.23,Customers purchasing 'JUMBO SHOPPER VINTAGE RED PAISLEY' can be recommended 'JUMBO STORAGE BAG SUKI'.
LUNCH BAG  BLACK SKULL.,LUNCH BAG SPACEBOY DESIGN,888,2.2,Customers purchasing 'LUNCH BAG  BLACK SKULL.' can be recommended 'LUNCH BAG SPACEBOY DESIGN'.
LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,884,2.19,Customers purchasing 'LUNCH BAG  BLACK SKULL.' can be recommended 'LUNCH BAG CARS BLUE'.
HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,866,2.15,Customers purchasing 'HOME BUILDING BLOCK WORD' can be recommended 'LOVE BUILDING BLOCK WORD'.
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,855,2.12,Customers purchasing 'GREEN REGENCY TEACUP AND SAUCER' can be recommended 'PINK REGENCY TEACUP AND SAUCER'.
WHITE HANGING HEART T-LIGHT HOLDER,WOODEN FRAME ANTIQUE WHITE,839,2.08,Customers purchasing 'WHITE HANGING HEART T-LIGHT HOLDER' can be recommended 'WOODEN FRAME ANTIQUE WHITE'.
PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,839,2.08,Customers purchasing 'PAPER CHAIN KIT 50'S CHRISTMAS' can be recommended 'PAPER CHAIN KIT VINTAGE CHRISTMAS'.
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,836,2.07,Customers purchasing 'ALARM CLOCK BAKELIKE GREEN' can be recommended 'ALARM CLOCK BAKELIKE RED'.
WHITE HANGING HEART T-LIGHT HOLDER,WOODEN PICTURE FRAME WHITE FINISH,833,2.07,Customers purchasing 'WHITE HANGING HEART T-LIGHT HOLDER' can be recommended 'WOODEN PICTURE FRAME WHITE FINISH'.
